imagename,pen_pressure,letter_spacing,size,dimension,is_lowercase,is_continuous,slantness,tilt,entry_stroke_a,staff_of_a,formation_n,staff_of_d,exit_stroke_d,word_formation,constancy
1469b_num3.png,2,2,2,2,2,2,2,1,1,4,2,2,2,1,2
1513a_num1.png,1,1,3,2,2,2,2,2,1,2,2,2,2,1,2
1520c_num3.png,2,2,1,1,2,2,3,1,1,2,2,3,1,1,2
1565b_num2.png,2,1,1,1,2,2,3,1,1,2,1,2,1,1,1
1501b_num5.png,2,2,2,2,2,2,2,2,1,2,2,3,2,1,1
1467c_num1.png,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1
1503a_num2.png,1,1,3,3,2,2,1,1,1,2,2,2,1,2,2
1549a_num2.png,2,2,2,2,2,2,1,1,1,2,2,2,4,2,2
1561aa_num1.png,2,2,2,2,2,2,2,1,1,2,2,3,2,1,2
1537a_num2.png,2,3,2,2,2,1,1,1,1,4,2,2,3,2,2
1493b_num3.png,2,2,1,1,2,2,2,1,1,2,2,3,2,1,1
1481c_num4.png,2,2,1,1,2,2,1,1,1,2,2,3,4,1,2
1500a_num2.png,1,2,3,3,2,2,1,1,1,2,2,2,2,2,2
1547b_num1.png,1,2,3,3,2,2,1,2,1,2,2,3,4,2,2
1494a_num2.png,2,2,1,1,2,2,2,1,1,1,2,3,3,1,2
1552a_num4.png,2,1,1,1,2,2,3,1,2,2,1,3,1,1,1
1510c_num2.png,2,2,1,1,2,2,3,1,1,2,2,3,2,1,2
1564b_num3.png,2,2,1,1,2,2,2,1,1,1,1,3,1,1,1
1487a_num1.png,2,3,1,1,2,2,2,1,1,2,2,2,3,1,2
1554a_num2.png,2,1,2,2,2,2,2,1,1,2,2,3,1,1,2
1484c_num1.png,2,1,1,2,2,2,2,1,1,2,2,2,1,1,2
1451a_num2.png,1,2,2,2,2,2,2,1,1,2,2,3,1,1,2
1474c_num2.png,2,1,1,1,2,2,3,1,2,2,2,3,2,1,2
1477c_num2.png,1,2,1,1,2,2,1,1,1,2,1,3,4,1,1
1455b_num4.png,1,2,2,2,2,2,1,1,1,2,2,3,4,1,2
1536a_num2.png,1,2,3,3,2,2,2,1,1,2,2,3,2,2,2
1551b_num2.png,1,2,3,3,2,2,1,1,1,2,2,2,2,2,2
1565a_num4.png,2,3,1,1,2,2,2,1,1,2,1,3,2,1,1
1495b_num5.png,2,2,3,3,2,2,2,1,1,2,2,2,2,2,2
1469c_num1.png,2,2,2,2,2,1,1,1,1,4,2,2,2,2,2
1456a_num3.png,2,2,1,1,2,2,2,1,1,1,1,3,1,1,1
1550a_num2.png,2,3,3,2,2,1,1,1,1,2,2,1,1,2,2
1461b_num2.png,2,2,2,2,2,2,2,1,1,2,2,3,2,1,2
1516b_num2.png,2,2,1,1,2,2,2,2,1,2,2,3,2,1,1
1505b_num1.png,1,1,3,3,2,2,2,2,1,2,1,2,1,1,1
1536b_num1.png,1,1,3,3,2,2,2,1,1,2,2,3,2,2,2
1564b_num2.png,2,2,2,2,2,2,2,1,1,2,1,3,2,1,1
1518c_num1.png,2,3,1,1,2,2,1,1,1,2,2,3,2,1,2
1490a_num2.png,2,3,1,1,2,2,3,1,2,2,2,2,4,1,2
1560a_num4.png,1,1,3,3,2,1,1,1,1,2,2,2,2,2,2
1463c_num1.png,2,2,1,1,2,2,3,1,1,2,2,2,3,1,2
1478c_num1.png,2,2,2,2,2,2,1,1,1,2,2,3,2,1,1
1495b_num6.png,2,1,3,3,2,2,2,2,1,2,2,2,1,1,2
1549c_num1.png,2,2,2,2,2,2,1,1,1,2,2,2,4,2,2
1477c_num4.png,2,3,1,1,2,2,2,1,1,2,1,3,4,1,1
1479a_num1.png,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2
1484a_num4.png,2,1,3,2,2,1,1,1,1,2,2,2,2,2,2
1490a_num3.png,2,3,1,1,2,2,3,1,1,2,1,1,1,1,1
1475c_num3.png,2,2,1,1,2,2,3,1,1,2,2,3,2,1,2
1474b_num1.png,2,1,1,1,2,2,3,1,1,2,2,3,1,1,1
1451c_num2.png,1,2,2,2,2,2,2,1,1,2,2,3,2,1,2
1513b_num2.png,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2
1482c_num2.png,2,2,2,2,2,2,3,1,1,2,2,3,2,1,2
1523b_num1.png,2,3,2,2,1,1,1,1,1,1,2,1,1,1,2
1558a_num1.png,2,3,2,2,2,1,4,1,1,2,1,1,2,1,1
1460a_num2.png,2,2,2,1,2,2,2,1,1,2,2,2,2,1,1
1560b_num4.png,1,2,3,3,2,1,1,1,1,4,2,2,2,2,2
1504cc_num1.png,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
1557b_num4.png,1,1,2,2,2,2,4,1,1,2,2,2,2,2,2
1482a_num1.png,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2
1566c_num1.png,2,2,2,2,2,2,1,1,1,2,2,2,4,2,2
1550c_num4.png,2,3,3,2,2,1,1,1,1,2,2,1,1,2,2
1538bb_num1.png,2,3,1,1,2,2,2,1,1,2,2,3,2,1,1
1565c_num2.png,2,3,1,1,2,2,3,1,1,1,1,3,1,1,1
1526a_num2.png,2,3,3,2,2,1,1,1,1,2,2,1,1,2,2
1550c_num5.png,1,3,3,3,2,1,1,1,1,2,2,1,1,2,2
1468a_num6.png,2,3,1,1,2,2,2,1,1,2,2,3,4,1,1
1507c_num2.png,1,1,2,3,2,2,1,2,1,2,1,1,2,1,1
1515b_num7.png,2,1,2,2,2,2,4,1,1,2,1,1,1,1,1
1490c_num2.png,2,2,1,1,2,2,3,1,2,2,2,3,3,1,2
1466c_num4.png,2,2,1,1,2,2,2,1,1,2,2,3,4,1,2
1497c_num1.png,2,2,2,2,2,1,2,1,1,2,2,2,1,2,2
1518a_num2.png,2,3,1,1,2,2,1,1,1,2,2,3,2,2,2
1477c_num1.png,2,3,1,1,2,2,1,1,1,2,1,3,4,1,1
1549c_num3.png,2,2,2,2,2,2,1,1,1,2,2,2,4,2,2
1497b_num3.png,2,1,1,1,2,2,3,1,1,2,2,2,1,1,2
1475a_num2.png,2,2,1,1,2,2,2,1,1,2,2,3,2,1,2
1549a_num3.png,2,2,2,2,2,1,1,1,1,2,2,2,1,2,2
1489c_num3.png,2,3,1,1,2,2,1,2,1,2,2,3,4,1,1
1566a_num3.png,1,2,2,2,2,2,1,1,1,2,2,2,4,2,2
1469a_num4.png,2,2,2,2,2,1,1,1,1,2,2,2,3,2,2
1454b_num5.png,2,2,1,1,2,2,1,1,1,2,2,3,4,1,1
1507a_num4.png,2,2,2,2,2,2,1,1,1,2,2,3,2,1,1
1509a_num2.png,1,3,3,2,2,1,1,1,1,2,2,2,1,2,2
1522b_num2.png,2,3,1,1,2,2,1,1,1,2,1,2,4,1,1
1480b_num3.png,2,2,3,3,2,2,2,1,1,2,2,3,3,2,2
1483c_num3.png,2,2,2,2,2,2,2,1,1,2,2,3,4,1,2
1515b_num1.png,2,2,1,1,2,2,4,1,1,2,2,3,1,1,1
1518c_num5.png,2,3,1,1,2,2,1,1,1,2,2,2,4,2,2
1503b_num2.png,1,1,3,3,2,2,2,1,1,2,2,2,2,1,2
1568a_num2.png,2,3,1,1,2,2,1,1,1,1,1,3,4,1,1
1513c_num1.png,2,1,2,2,2,2,3,1,1,2,2,2,2,1,2
1554a_num3.png,2,2,2,3,2,2,2,1,1,2,2,3,1,1,2
1515b_num6.png,2,2,1,1,2,2,4,1,1,2,2,3,1,1,1
1481a_num1.png,2,2,1,1,2,2,2,1,1,2,2,3,3,1,2
1504c_num2.png,2,1,3,3,2,1,1,2,1,2,2,1,1,1,2
1479b_num2.png,2,3,2,2,2,1,4,1,1,2,2,3,2,1,2
1478a_num1.png,2,2,2,2,2,2,1,1,1,2,1,3,2,1,1
1554b_num1.png,1,1,2,2,2,2,2,1,1,2,2,3,2,1,2
1519b_num3.png,2,3,1,1,2,2,1,1,1,2,1,2,4,1,1
1454a_num1.png,2,2,1,1,2,2,2,2,2,2,2,3,4,1,1
1568a_num1.png,2,3,1,1,2,2,1,1,1,1,1,3,4,1,1
1467b_num4.png,1,1,3,3,2,2,2,2,1,2,2,2,3,1,2
1524b_num1.png,1,2,2,2,2,1,2,2,1,4,2,2,1,2,2
1524b_num5.png,2,3,2,2,2,1,2,2,1,4,2,2,1,1,1
1495b_num7.png,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
1541b_num5.png,1,2,2,2,2,1,1,2,1,4,2,3,2,2,2
1481b_num1.png,2,2,1,1,2,2,3,1,1,2,1,2,1,1,1
1534c_num1.png,1,2,2,2,2,2,2,1,1,2,2,3,3,1,2
1543a_num1.png,2,2,1,1,2,2,2,1,1,2,2,3,2,1,2
1544c_num1.png,1,1,2,1,2,2,3,1,1,2,2,2,2,1,2
1519b_num5.png,2,1,1,1,2,2,1,1,2,2,2,2,4,1,2
1541c_num3.png,2,1,1,1,2,2,1,1,1,1,2,2,2,1,1
1480c_num2.png,2,2,3,2,2,1,1,2,1,2,2,3,3,2,2
1529c_num1.png,2,2,2,2,2,1,1,2,1,1,2,3,2,1,1
1498c_num1.png,1,2,2,2,2,2,2,1,1,2,1,2,3,1,1
1456b_num1.png,1,2,1,1,2,2,2,1,1,2,2,3,2,1,2
1564b_num4.png,2,2,1,1,2,2,2,2,1,2,1,3,1,1,1
1533a_num1.png,2,2,1,1,2,2,3,1,1,1,1,3,1,1,1
1475a_num1.png,2,2,1,1,2,2,3,1,1,2,2,3,2,1,2
1465a_num5.png,2,3,1,1,2,2,3,1,1,2,2,2,4,1,2
1454a_num3.png,2,2,1,1,2,2,1,1,1,2,2,3,4,1,2
1552a_num1.png,2,1,1,1,2,2,3,1,1,2,2,3,2,1,1
1492c_num3.png,2,3,1,1,2,2,3,1,2,2,1,2,4,1,2
1471c_num3.png,2,2,2,2,2,2,2,1,1,2,2,3,2,1,2
1455a_num2.png,2,2,1,1,2,2,2,1,1,2,2,3,4,1,2
1461a_num2.png,2,2,2,2,2,1,2,1,1,2,2,3,2,2,2
1463a_num1.png,2,2,2,1,2,2,2,2,1,2,2,3,3,1,2
1556a_num4.png,2,2,2,2,2,2,1,1,1,2,2,3,2,2,2
1494c_num1.png,2,2,2,2,2,2,1,1,1,2,2,3,3,1,2
1524c_num6.png,2,3,2,2,2,1,2,1,1,4,2,2,1,1,2
1461c_num4.png,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2
1503a_num1.png,2,1,3,2,2,2,1,1,1,2,2,2,2,1,2
1539b_num2.png,2,2,1,1,2,2,1,2,1,2,1,3,4,1,1
1540b_num1.png,2,2,2,2,2,2,3,1,1,2,2,2,4,1,2
1531c_num1.png,1,2,3,3,2,2,1,1,1,2,2,3,2,1,2
1453a_num5.png,2,2,1,1,2,2,4,1,1,2,2,3,2,1,2
1465c_num4.png,2,2,2,1,2,2,2,1,1,2,2,3,2,1,2
1456c_num3.png,1,1,1,1,2,2,3,1,1,2,1,3,2,1,1
1483a_num1.png,2,2,2,2,2,2,2,1,1,2,2,2,3,2,2
1526b_num2.png,2,3,3,2,2,1,1,1,1,2,2,2,1,2,2
1532a_num3.png,2,2,2,2,2,2,2,1,1,2,2,3,4,1,1
1556b_num1.png,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2
1541a_num1.png,1,3,2,2,2,1,1,1,1,2,2,3,3,2,2
1518c_num3.png,2,3,1,1,2,2,1,1,1,2,2,3,4,1,2
1537a_num4.png,2,3,2,2,2,1,1,1,1,2,2,1,4,1,2
1456c_num2.png,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1
1561a_num3.png,2,2,2,2,2,2,1,1,1,2,2,3,2,1,2
1504bb_num1.png,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2
1494c_num2.png,2,2,2,2,2,2,1,1,1,1,2,3,3,1,2
1453a_num3.png,1,2,2,2,2,2,4,1,1,2,2,3,2,2,2
1484c_num3.png,2,2,1,1,2,2,3,1,1,2,2,2,1,1,1
1521a_num2.png,2,2,2,2,2,2,3,1,1,2,2,3,2,1,2
1524a_num2.png,2,2,2,2,2,1,2,2,1,4,2,2,1,1,2
1549b_num2.png,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2
1568c_num1.png,2,2,1,1,2,2,1,1,1,2,2,3,4,1,1
1517a_num4.png,2,2,1,1,2,2,2,1,1,2,2,3,2,1,2
1520a_num2.png,2,3,1,1,2,2,2,1,1,1,1,3,1,1,1
1529c_num2.png,2,2,2,2,2,2,1,1,1,4,2,2,3,1,2
1454c_num4.png,2,2,1,1,2,2,1,1,1,2,2,3,4,1,2
1497a_num1.png,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2
1557b_num2.png,1,2,3,2,2,1,4,1,1,2,2,2,2,2,2
1465b_num1.png,2,2,1,1,2,2,2,2,1,2,2,3,2,1,1
1506a_num1.png,2,2,1,1,2,2,1,1,1,2,2,2,4,1,2
1495c_num3.png,2,2,3,2,2,2,2,1,1,2,2,2,2,2,2
1526b_num1.png,2,3,2,2,2,1,1,1,1,2,2,2,1,2,2
1467c_num2.png,1,2,2,2,2,2,2,1,1,2,2,3,2,1,2
1534cc_num1.png,2,2,1,1,2,2,2,1,1,2,2,3,3,1,2
1541a_num4.png,1,3,2,2,2,2,1,1,1,4,2,3,2,1,1
1564b_num1.png,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1
1532c_num1.png,2,2,1,1,2,2,1,1,1,1,2,3,4,1,1
1517a_num3.png,2,2,1,1,2,2,2,1,1,2,2,3,2,1,2
1465a_num6.png,2,2,1,1,2,2,2,1,1,2,2,3,4,2,2
1510c_num1.png,2,2,1,1,2,1,3,1,1,2,2,2,2,1,2
1453a_num6.png,1,2,2,2,2,1,1,1,1,2,2,1,1,1,2
1517b_num5.png,2,3,1,1,2,2,2,1,1,2,2,2,4,1,2
1507a_num2.png,2,2,2,2,2,2,1,1,1,2,1,3,1,1,1
1455b_num1.png,1,2,1,1,2,2,2,1,1,2,2,2,3,1,2
1538a_num1.png,2,3,1,1,2,2,2,1,1,2,2,3,2,1,2
1451c_num5.png,1,2,2,2,2,2,2,2,1,2,2,3,2,1,2
1544b_num1.png,1,2,2,2,2,2,3,1,1,2,2,2,1,2,2
1550b_num4.png,1,3,3,2,2,1,1,1,1,2,2,2,1,2,2
1524a_num1.png,2,1,1,1,2,1,2,1,1,1,2,2,1,1,1
1488b_num1.png,2,3,1,1,2,2,3,1,1,2,2,3,4,1,2
1537a_num5.png,2,3,2,2,2,1,1,1,1,4,2,2,2,2,2
1475c_num2.png,2,2,1,1,2,2,3,1,1,2,2,3,4,1,2
1538aa_num1.png,2,3,2,2,2,2,1,1,1,2,1,3,2,1,1
1508bb_num2.png,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2
1466b_num2.png,2,1,1,1,2,2,2,1,1,2,1,2,4,1,1
1561a_num2.png,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2
1493c_num5.png,2,2,1,1,2,2,2,1,1,2,2,3,2,1,2
1455c_num1.png,1,2,2,2,2,2,2,1,1,2,2,3,4,1,2
1465a_num1.png,2,3,1,1,2,2,2,1,1,2,2,3,4,1,1
1489a_num3.png,2,2,1,1,2,2,2,1,1,2,2,3,2,1,2
1454a_num2.png,2,2,1,1,2,2,2,1,1,2,2,3,4,1,2
1488c_num2.png,2,2,1,1,2,2,3,1,1,2,2,3,3,1,2
1452b_num1.png,1,1,2,2,2,2,3,1,1,2,2,3,1,1,2
1461c_num2.png,1,2,2,2,2,2,2,1,1,2,2,3,4,2,2
1493b_num2.png,2,2,2,2,2,2,1,1,1,2,2,3,4,2,2
1494b_num2.png,2,2,1,1,2,2,2,1,1,2,2,3,3,1,2
1483c_num4.png,2,2,2,2,2,2,2,1,1,2,2,3,3,2,2
1556c_num5.png,1,2,3,2,2,2,1,1,1,2,2,2,2,2,2
1462b_num1.png,2,2,3,3,2,2,2,1,1,2,2,3,2,2,2
1493c_num4.png,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2
1511b_num4.png,2,2,3,2,2,2,2,1,1,2,2,2,2,2,2
1533a_num3.png,2,2,1,1,2,2,3,1,1,2,2,3,2,1,1
1481b_num4.png,1,3,1,1,2,2,3,1,1,2,2,2,1,1,1
1518b_num6.png,2,2,2,2,2,2,1,1,1,2,2,3,4,2,2
1568a_num3.png,2,3,1,1,2,2,1,1,1,1,1,3,4,1,1
1566a_num1.png,1,1,2,2,2,2,1,1,1,2,2,2,4,1,2
1492a_num2.png,2,1,1,1,2,2,3,1,2,2,2,2,2,1,2
1453a_num1.png,2,2,2,2,2,2,4,1,1,2,2,3,2,1,2
1480b_num2.png,2,1,3,3,2,2,1,1,1,1,1,3,4,1,1
1504b_num1.png,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2
1541a_num3.png,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1
1497a_num2.png,2,2,2,2,2,1,3,1,1,2,2,2,2,2,2
1541b_num4.png,1,1,2,2,2,2,1,2,1,4,2,3,2,1,2
1496a_num1.png,2,3,1,1,2,2,2,2,1,2,1,3,2,1,1
1460a_num1.png,2,2,1,1,2,2,2,1,2,2,2,3,2,1,2
1544c_num2.png,1,1,2,2,2,2,3,1,1,2,2,2,2,1,2
1525a_num3.png,2,1,3,2,2,1,1,1,1,1,2,2,2,1,2
1458c_num3.png,2,1,2,2,2,2,3,2,1,2,2,3,1,1,1
1538a_num2.png,2,3,2,2,2,2,2,1,1,2,1,3,2,1,1
1499c_num1.png,2,1,2,2,2,2,3,1,2,2,2,2,3,2,2
1526c_num6.png,2,3,3,3,2,1,1,1,1,2,2,1,1,2,2
1491a_num3.png,2,2,2,2,2,2,3,1,1,2,2,3,2,1,2
1543c_num3.png,2,3,1,1,2,2,2,1,1,2,2,3,2,1,1
1500a_num1.png,1,2,3,3,2,2,1,1,1,2,2,2,4,2,2
1471b_num3.png,2,2,1,1,2,2,2,1,1,2,2,3,2,1,2
1495a_num3.png,1,1,3,2,2,2,2,2,1,2,2,2,2,1,2
1469c_num2.png,2,2,2,2,2,2,1,1,1,4,2,3,2,1,2
1451a_num1.png,1,1,2,2,2,2,2,1,1,1,2,3,1,1,2
1482a_num2.png,2,2,2,2,2,1,3,2,1,2,2,3,2,1,2
1469a_num2.png,2,2,2,2,2,1,2,1,1,4,2,2,2,1,2
1491a_num2.png,2,2,2,2,2,2,2,1,1,2,2,3,4,2,2
1547c_num4.png,1,2,3,3,2,2,2,1,1,2,2,3,2,2,2
1461a_num1.png,2,2,2,2,2,2,2,2,1,2,2,3,2,1,2
1453a_num2.png,2,2,1,1,2,2,4,1,1,2,2,3,4,1,2
1479a_num4.png,2,1,3,3,2,1,1,1,1,2,2,3,2,2,2
1524c_num7.png,2,2,2,1,2,1,2,1,1,4,2,2,1,1,1
1539c_num1.png,2,3,1,1,2,2,1,1,1,2,2,3,4,1,1
1550a_num4.png,2,1,3,3,2,1,1,1,1,2,2,2,1,2,2
1526c_num3.png,2,2,2,2,2,1,2,1,1,2,2,2,1,2,2
1468a_num1.png,2,3,1,1,2,2,2,1,1,2,1,3,4,1,1
1560c_num3.png,2,3,3,2,2,1,1,1,1,2,2,2,1,2,2
1524c_num3.png,2,3,2,2,2,1,2,2,1,4,2,2,1,1,2
1561b_num2.png,2,2,3,3,2,2,1,1,1,2,2,2,2,1,2
1484a_num6.png,1,3,3,2,2,1,1,1,1,1,2,2,1,1,2
1564c_num3.png,2,2,1,1,2,2,2,2,1,2,1,3,1,1,1
1495a_num2.png,2,2,3,2,2,2,2,1,1,2,2,2,2,2,2
1537b_num5.png,2,3,2,2,2,1,1,1,1,2,2,1,4,2,2
1512c_num2.png,2,2,2,2,2,2,2,2,1,2,2,3,4,2,2
1515a_num7.png,2,3,1,1,2,1,4,1,1,1,2,1,1,1,2
1507b_num2.png,2,2,2,2,2,2,1,1,1,2,2,3,2,1,1
1488c_num3.png,2,2,1,1,2,2,3,1,1,2,2,3,4,1,2
1511c_num3.png,2,2,3,3,2,2,2,1,1,2,2,2,2,2,2
1473a_num1.png,2,3,1,1,2,1,2,1,1,1,2,3,4,1,2
1499b_num1.png,2,2,2,2,2,2,3,1,2,2,2,2,4,1,2
1557a_num3.png,1,2,2,2,2,2,1,1,1,2,2,3,4,2,2
1539c_num3.png,2,3,2,1,2,2,2,1,1,2,2,3,4,1,2
1531a_num2.png,1,1,3,3,2,2,1,1,1,1,1,3,2,1,1
1551a_num2.png,1,2,3,3,2,1,1,1,1,2,2,2,2,2,2
1518b_num4.png,2,2,2,2,2,2,2,1,1,2,1,3,2,1,1
1463b_num1.png,2,2,2,1,2,2,3,1,1,2,2,3,4,1,2
1560b_num1.png,2,2,3,2,2,1,1,1,1,2,2,2,1,2,2
1531c_num4.png,2,2,2,2,2,2,2,1,1,2,2,3,2,1,1
1456b_num3.png,1,1,1,1,2,2,2,1,1,2,1,2,2,1,1
1560b_num2.png,2,3,2,2,2,1,1,1,1,2,2,2,2,2,2
1530c_num1.png,2,2,2,2,2,2,1,1,1,1,2,3,2,1,1
1526c_num5.png,2,3,3,3,2,1,1,1,1,2,2,1,1,2,2
1542b_num1.png,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2
1465b_num2.png,2,2,1,1,2,2,2,1,1,2,2,2,3,1,2
1541b_num3.png,2,2,2,2,2,1,1,2,1,4,2,3,2,1,2
1476c_num2.png,2,2,1,1,2,2,2,2,1,2,2,2,3,1,2
1548c_num2.png,1,3,1,2,2,1,2,1,1,1,2,1,1,1,2
1517c_num1.png,2,2,1,1,2,2,2,1,1,2,2,3,2,1,2
1517b_num4.png,2,2,2,2,2,2,2,1,1,2,2,2,4,2,2
1492a_num1.png,2,1,3,3,2,2,2,1,1,1,1,3,1,1,1
1474b_num3.png,2,1,1,1,2,2,3,1,1,2,2,2,1,1,1
1508c_num1.png,2,2,3,2,2,2,1,2,1,2,2,2,2,2,2
1521a_num4.png,2,2,2,2,2,2,2,1,1,2,2,3,4,2,2
1548a_num1.png,1,3,2,2,2,1,3,1,1,1,2,1,1,1,2
1465b_num4.png,2,2,1,1,2,2,2,1,1,2,2,3,2,1,2
1531c_num3.png,2,1,3,3,2,2,2,1,1,3,2,3,2,1,1
1519a_num2.png,2,3,1,1,2,2,3,1,2,2,2,2,1,1,1
1539a_num2.png,2,2,2,2,2,2,2,2,1,2,2,1,4,1,1
1510b_num2.png,2,2,1,1,2,2,3,1,1,2,2,2,2,1,2
1518b_num5.png,2,3,2,2,2,1,1,1,1,2,2,2,4,2,2
1480c_num1.png,2,2,3,2,2,1,2,1,1,2,2,3,3,2,2
1466c_num3.png,2,2,1,1,2,2,2,1,1,2,2,3,4,1,2
1515c_num3.png,2,3,1,1,2,2,4,1,1,2,2,3,1,1,1
1524c_num5.png,2,3,2,2,2,1,2,1,1,1,1,2,1,1,1
1471b_num1.png,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2
1483c_num5.png,2,2,2,1,2,2,2,1,1,2,2,3,2,1,1
1537a_num1.png,2,2,2,2,2,1,1,1,1,2,2,2,3,1,2
1463b_num2.png,2,2,1,1,2,2,3,2,1,2,2,3,3,2,2
1508aa_num1.png,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2
1457b_num1.png,1,1,3,3,2,2,1,1,1,2,2,3,2,2,2
1510a_num2.png,1,2,1,2,2,2,3,1,1,2,2,2,2,1,2
1550c_num1.png,2,1,3,3,2,1,1,1,1,2,2,1,1,2,2
